duration	zero_time	trial_type
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
0.26	0.25	X'4-5 1mA
