duration	zero_time	trial_type
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
0.26	0.25	Z'13-14 0.3mA
